Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	1.488e-10	2	1.5e-13	-14.1	-9.473e-11
0	7.551e-11	2	1.7e-13	-14	-1.0056e-10
0	8.934e-11	2	1.8e-13	-13.9	-7.047e-11
0	5.325e-11	2	1.2e-13	-13.8	-5.935e-11
0	6.793e-11	2	1.3e-13	-13.7	-5.083e-11
0	4.573e-11	2	1.2e-13	-13.6	-4.22e-11
0	5.121e-11	2	1.2e-13	-13.5	-6.105e-11
0	9.394e-11	2	1.8e-13	-13.4	-3.673e-11
0	6.468e-11	2	1.5e-13	-13.3	-6.651e-11
0	4.544e-11	2	1.4e-13	-13.2	-4.368e-11
0	3.665e-11	2	1.4e-13	-13.1	-5.049e-11
0	5.096e-11	2	1.6e-13	-13	-8.451e-11
0	7.969e-11	2	1.8e-13	-12.9	-7.399e-11
0	5.386e-11	2	1.6e-13	-12.8	-6.07e-11
0	5.209e-11	2	1.3e-13	-12.7	-5.652e-11
0	7.454e-11	2	1.5e-13	-12.6	-7.526e-11
0	6.878e-11	2	1.5e-13	-12.5	-7.099e-11
0	5.843e-11	2	1.3e-13	-12.4	-5.213e-11
0	6.399e-11	2	1.7e-13	-12.3	-8.154e-11
0	6.351e-11	2	1.1e-13	-12.2	-7.882e-11
0	4.433e-11	2	1.3e-13	-12.1	-6.118e-11
0	4.171e-11	2	1.6e-13	-12	-5.016e-11
0	3.379e-11	2	1.7e-13	-11.9	-3.531e-11
0	1.822e-11	2	1.4e-13	-11.8	-2.552e-11
0	3.003e-11	2	1.1e-13	-11.7	-3.632e-11
0	2.523e-11	2	1.2e-13	-11.6	-2.546e-11
0	2.26e-11	2	1.5e-13	-11.5	-2.22e-11
0	1.677e-11	2	1.7e-13	-11.4	-1.499e-11
0	1.406e-11	2	1.5e-13	-11.3	-1.577e-11
0	2.178e-11	2	1.6e-13	-11.2	-1.071e-11
0	1.072e-11	2	1.6e-13	-11.1	-1.284e-11
0	1.191e-11	2	1.5e-13	-11	-1.268e-11
0	2.559e-11	2	1.2e-13	-10.9	-3.532e-11
0	6.07e-12	2	1.4e-13	-10.8	-1.211e-11
0	5.48e-12	2	1.7e-13	-10.7	-9.53e-12
0	5.35e-12	2	1.3e-13	-10.6	-6.8e-12
0	4.17e-12	2	1.4e-13	-10.5	-3.48e-12
0	3.95e-12	2	1.1e-13	-10.4	-3.4e-12
0	3.71e-12	2	1.5e-13	-10.3	-1.77e-12
0	1.81e-12	2	1.5e-13	-10.2	-1.41e-12
0	2.53e-12	2	1.3e-13	-10.1	-3.82e-12
0	2.34e-12	2	1.2e-13	-10	-3.29e-12
0	2.63e-12	2	1.4e-13	-9.9	-1.62e-12
0	1.69e-12	2	1.2e-13	-9.8	-2.94e-12
0	3.06e-12	2	1.6e-13	-9.7	-3.43e-12
0	4.09e-12	2	1.7e-13	-9.6	-3.52e-12
0	1.72e-12	2	1.6e-13	-9.5	-2.03e-12
0	1.15e-12	2	1.3e-13	-9.4	-1.39e-12
0	1.47e-12	2	1.6e-13	-9.3	-1.76e-12
0	1.07e-12	2	1.3e-13	-9.2	-1.44e-12
0	1.2e-12	2	1.6e-13	-9.1	-9.3e-13
0	9.1e-13	2	1.3e-13	-9	-1.09e-12
0	5.5e-13	2	1.6e-13	-8.9	-1.15e-12
0	1.14e-12	2	1.5e-13	-8.8	-2.14e-12
0	9.8e-13	2	1.3e-13	-8.7	-6.8e-13
0	6.7e-13	2	1.6e-13	-8.6	-5.1e-13
0	8.3e-13	2	1.7e-13	-8.5	-8.1e-13
0	4.5e-13	2	1.4e-13	-8.4	-5.8e-13
0	4.5e-13	2	1.6e-13	-8.3	-5.9e-13
0	5e-13	2	1.7e-13	-8.2	-3.7e-13
0	2.7e-13	2	1.4e-13	-8.1	-4.3e-13
0	3.8e-13	2	1.7e-13	-8	-4.4e-13
0	3.3e-13	2	1.7e-13	-7.9	-4.5e-13
0	2.9e-13	2	1.4e-13	-7.8	-4.1e-13
0	3.3e-13	2	1.6e-13	-7.7	-3.3e-13
0	3.4e-13	2	1.6e-13	-7.6	-3.6e-13
0	3.2e-13	2	1.4e-13	-7.5	-4.5e-13
0	7.1e-13	2	1.4e-13	-7.4	-6.1e-13
0	1.7e-13	2	1.4e-13	-7.3	-4.8e-13
0	1.8e-13	2	1.5e-13	-7.2	-4.6e-13
0	2.2e-13	2	1.5e-13	-7.1	-2.7e-13
0	1.2e-13	2	1.6e-13	-7	-2.3e-13
0	2.8e-13	2	1.5e-13	-6.9	-2.8e-13
0	1.1e-13	2	1.6e-13	-6.8	-2.6e-13
0	1.5e-13	2	1.3e-13	-6.7	-2.8e-13
0	1.4e-13	2	1.6e-13	-6.6	-2.6e-13
0	1.5e-13	2	1.2e-13	-6.5	-2.2e-13
0	1.2e-13	2	1.4e-13	-6.4	-1.1e-13
0	5e-14	2	1.5e-13	-6.3	-1.6e-13
0	1e-13	2	1.8e-13	-6.2	-1.5e-13
0	7e-14	2	1.4e-13	-6.1	-1e-13
0	4e-14	2	1.6e-13	-6	-1.3e-13
0	6e-14	2	1.6e-13	-5.9	-1.3e-13
0	7e-14	2	1.5e-13	-5.8	-1.1e-13
0	5e-14	2	1.8e-13	-5.7	-1.4e-13
0	8e-14	2	1.6e-13	-5.6	-1.3e-13
0	4e-14	2	1.4e-13	-5.5	-1.1e-13
0	4e-14	2	1.6e-13	-5.4	-1e-13
0	9e-14	2	1.7e-13	-5.3	-1.1e-13
0	5e-14	2	1.8e-13	-5.2	-8e-14
0	3e-14	2	1.5e-13	-5.1	-1.2e-13
0	1.2e-13	2	1.4e-13	-5	-1.5e-13
0	6e-14	2	1.4e-13	-4.9	-1.2e-13
0	5e-14	2	1.8e-13	-4.8	-9e-14
0	3e-14	2	1.6e-13	-4.7	-1.2e-13
0	2e-14	2	1.8e-13	-4.6	-1.2e-13
0	2e-14	2	1.6e-13	-4.5	-1.1e-13
0	3e-14	2	1.3e-13	-4.4	-1.2e-13
0	0	2	1.2e-13	-4.3	-9e-14
0	-1e-14	2	1.6e-13	-4.2	-6e-14
0	2e-14	2	1.5e-13	-4.1	-1e-13
0	0	2	1.7e-13	-4	-6e-14
0	1e-14	2	1.5e-13	-3.9	-8e-14
